Indicator,Date,Value
REAL_GDP,2025-01-01,5748.144
REAL_GDP,2024-10-01,6001.654
REAL_GDP,2024-07-01,5866.841
REAL_GDP,2024-04-01,5817.169
REAL_GDP,2024-01-01,5638.455
REAL_GDP,2023-10-01,5831.583
REAL_GDP,2023-07-01,5724.051
REAL_GDP,2023-04-01,5646.288
REAL_GDP,2023-01-01,5469.175
REAL_GDP,2022-10-01,5668.877
REAL_GDP,2022-07-01,5544.386
REAL_GDP,2022-04-01,5484.289
REAL_GDP,2022-01-01,5337.277
REAL_GDP,2021-10-01,5591.973
REAL_GDP,2021-07-01,5408.478
REAL_GDP,2021-04-01,5360.97
REAL_GDP,2021-01-01,5133.377
REAL_GDP,2020-10-01,5298.828
REAL_GDP,2020-07-01,5134.93
REAL_GDP,2020-04-01,4783.855
REAL_GDP,2020-01-01,5049.973
REAL_GDP,2019-10-01,5351.022
REAL_GDP,2019-07-01,5232.278
REAL_GDP,2019-04-01,5159.323
REAL_GDP,2019-01-01,4973.048
REAL_GDP,2018-10-01,5170.563
REAL_GDP,2018-07-01,5092.532
REAL_GDP,2018-04-01,5039.983
REAL_GDP,2018-01-01,4890.817
REAL_GDP,2017-10-01,5069.624
REAL_GDP,2017-07-01,4950.878
REAL_GDP,2017-04-01,4893.234
REAL_GDP,2017-01-01,4698.367
REAL_GDP,2016-10-01,4912.331
REAL_GDP,2016-07-01,4819.182
REAL_GDP,2016-04-01,4768.308
REAL_GDP,2016-01-01,4641.851
REAL_GDP,2015-10-01,4799.354
REAL_GDP,2015-07-01,4741.07
REAL_GDP,2015-04-01,4696.817
REAL_GDP,2015-01-01,4562.381
REAL_GDP,2014-10-01,4709.584
REAL_GDP,2014-07-01,4616.61
REAL_GDP,2014-04-01,4532.342
REAL_GDP,2014-01-01,4403.178
REAL_GDP,2013-10-01,4586.321
REAL_GDP,2013-07-01,4486.445
REAL_GDP,2013-04-01,4419.14
REAL_GDP,2013-01-01,4320.262
REAL_GDP,2012-10-01,4440.555
REAL_GDP,2012-07-01,4376.682
REAL_GDP,2012-04-01,4345.706
REAL_GDP,2012-01-01,4279.816
REAL_GDP,2011-10-01,4371.813
REAL_GDP,2011-07-01,4273.162
REAL_GDP,2011-04-01,4251.8
REAL_GDP,2011-01-01,4155.635
REAL_GDP,2010-10-01,4316.573
REAL_GDP,2010-07-01,4229.41
REAL_GDP,2010-04-01,4188.706
REAL_GDP,2010-01-01,4055.062
REAL_GDP,2009-10-01,4209.064
REAL_GDP,2009-07-01,4102.854
REAL_GDP,2009-04-01,4060.384
REAL_GDP,2009-01-01,3976.808
REAL_GDP,2008-10-01,4179.959
REAL_GDP,2008-07-01,4192.399
REAL_GDP,2008-04-01,4226.589
REAL_GDP,2008-01-01,4182.537
REAL_GDP,2007-10-01,4305.666
REAL_GDP,2007-07-01,4208.612
REAL_GDP,2007-04-01,4184.414
REAL_GDP,2007-01-01,4063.753
REAL_GDP,2006-10-01,4201.0
REAL_GDP,2006-07-01,4111.947
REAL_GDP,2006-04-01,4116.718
REAL_GDP,2006-01-01,4003.482
REAL_GDP,2005-10-01,4107.378
REAL_GDP,2005-07-01,4040.686
REAL_GDP,2005-04-01,3972.818
REAL_GDP,2005-01-01,3867.076
REAL_GDP,2004-10-01,3990.913
REAL_GDP,2004-07-01,3879.617
REAL_GDP,2004-04-01,3837.587
REAL_GDP,2004-01-01,3741.64
REAL_GDP,2003-10-01,3860.185
REAL_GDP,2003-07-01,3753.431
REAL_GDP,2003-04-01,3680.929
REAL_GDP,2003-01-01,3582.767
REAL_GDP,2002-10-01,3712.845
REAL_GDP,2002-07-01,3650.253
REAL_GDP,2002-04-01,3608.496
REAL_GDP,2002-01-01,3501.118
INFLATION,2024-01-01,2.94952520485207
INFLATION,2023-01-01,4.11633838374488
INFLATION,2022-01-01,8.00279982052121
INFLATION,2021-01-01,4.69785886363742
INFLATION,2020-01-01,1.23358439630629
INFLATION,2019-01-01,1.81221007526021
INFLATION,2018-01-01,2.44258329692817
INFLATION,2017-01-01,2.13011000365961
INFLATION,2016-01-01,1.26158320570536
INFLATION,2015-01-01,0.118627135552451
INFLATION,2014-01-01,1.62222297740817
INFLATION,2013-01-01,1.46483265562717
INFLATION,2012-01-01,2.06933726526067
INFLATION,2011-01-01,3.156841568622
INFLATION,2010-01-01,1.6400434423899
INFLATION,2009-01-01,-0.355546266299747
INFLATION,2008-01-01,3.839100296651
INFLATION,2007-01-01,2.85267248150138
INFLATION,2006-01-01,3.22594410070404
INFLATION,2005-01-01,3.3927468454955
INFLATION,2004-01-01,2.67723669309172
INFLATION,2003-01-01,2.27009497336115
INFLATION,2002-01-01,1.58603162650601
INFLATION,2001-01-01,2.82617111885407
INFLATION,2000-01-01,3.37685727149929
INFLATION,1999-01-01,2.18802719697358
INFLATION,1998-01-01,1.55227909874364
INFLATION,1997-01-01,2.33768993730735
INFLATION,1996-01-01,2.93120419993441
INFLATION,1995-01-01,2.80541968853662
INFLATION,1994-01-01,2.60744159215453
INFLATION,1993-01-01,2.95165696638559
INFLATION,1992-01-01,3.02881967814969
INFLATION,1991-01-01,4.23496396453849
