Ticker,Title,Published,Sentiment,Sentiment Score,Summary,Source,Source_domain,URL,Full_Article
TSLA,"Tesla In Turmoil: Analyst Pins Hope On 'New Era' Robotics, FSD - Tesla  ( NASDAQ:TSLA ) ",20250327,Neutral,0.043543,"Wedbush's Daniel Ives maintains $550 target on Tesla, calling Q1 a low point before stronger second-half rebound. Despite delivery dips and brand backlash, Ives sees Tesla's future driven by FSD, robotics, and new model launches. Pelosi's latest AI pick skyrocketed 169% in just one month.",Benzinga,www.benzinga.com,https://www.benzinga.com/analyst-ratings/price-target/25/03/44519930/tesla-turmoil-analyst-pins-hope-new-era-robotics-fsd,"Benzinga Rankings give you vital metrics on any stock – anytime.
Elon Musk's leadership of the DOGE initiative for the Trump administration has thrown Tesla Inc TSLA into the center of a global political storm. 
Once a symbol of innovation, the electric vehicle company now finds itself at the heart of controversy, with protests erupting at dealerships, vehicles vandalized, and a massive ""TeslaTakedown"" day of action planned for Saturday, March 29. 
Musk faces a defining crisis as tensions boil over—can he steer Tesla through the chaos and reclaim control of the brand's future? Wedbush analyst Daniel Ives bets he can. 
On Thursday, Ives reiterated Tesla with an Outperform rating and a $550 price target.
Also Read: Tesla Bets On Low-Cost EVs in China After February Sales Hit Two-Year Low
Ives expects a soft, rip-the-band-aid-off first-quarter delivery number to hit on April 2. If deliveries fall within the 355,000 to 360,000 range, that’s down roughly 7%. For context, original Street estimates were over 400,000 to start the quarter and have decreased drastically as the weekly global data has weakened. 
Europe’s numbers are under significant pressure, with demand softness also seen in the U.S. and China.
Much of this softness is related to customers waiting for Model Y refreshes. Also, Tesla expects to launch a new lower-cost model by the summer. However, anti-Musk and brand issues are clearly at play and significant in this weak first-quarter delivery number.
Ives estimated that 30% of the very soft first-quarter delivery number is related to Musk, the brand, and DOGE. About 70% is more timing and non-brand headwind issues.
“It has been a tumultuous few months for Musk and Tesla as investors have navigated a very stormy backdrop with Tesla becoming a lightning rod of controversy,” Ives wrote. Musk’s DOGE initiative has “essentially taken on a life of its own” and turned Tesla into “a political symbol globally with protests, violence and demonstrations at dealerships and cars keyed,” he added. 
Ives expects the first quarter to be the “low point.” The Street is reviewing the numbers to better understand the delivery trajectory for the rest of the year. 
That depends on whether Musk can balance being Tesla’s CEO and running DOGE. Ives says investors and employees yearn for Musk’s leadership at this juncture. 
Musk recently held an all-hands meeting, and the stock has recovered somewhat. The analyst noted that perhaps investors are starting to sense a potential turning point in this latest Tesla chapter.
Musk also impressed Ives with Tesla’s long-term strategic vision, which includes autonomous vehicles and robotics.
So far, Musk has guided Tesla towards Austin’s unsupervised full self-driving, or FSD. The Cybercab also debuted. 
Plus, a lower-cost vehicle launch and more Model 3/Y refreshes, autonomous and robotics/Optimus technology improvements “set the stage for a new era of growth.”
“This continues to be a moment of truth for Musk to navigate this brand tornado crisis moment and get onto the other side of this dark chapter for Tesla with much better days ahead we see for the story,” Ives said. 
Ives projected first-quarter revenue of $24.05 billion and EPS of 56 cents.
Price Action: Tesla stock is up 2.6% at $279.12 at last check Thursday. It’s down over 26.4% year-to-date.
Also Read:
Image: Shutterstock
Benzinga Rankings give you vital metrics on any stock – anytime.
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Join Benzinga Edge and unlock all the major upgrades, downgrades, and changes to the market's most accurate analysts.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,Trump Slaps 25% Tariffs On Autos: What It Means For Your Next Car Purchase - General Motors  ( NYSE:GM ) ,20250327,Somewhat-bullish,0.174697,"Price increases are expected across the board, affecting new and used cars, maintenance costs and even insurance premiums. Electric vehicle prices could rise by as much as $12,200 once the tariffs are in effect. Feel unsure about the market's next move?",Benzinga,www.benzinga.com,https://www.benzinga.com/government/regulations/25/03/44517885/trump-slaps-25-tariffs-on-autos-what-it-means-for-your-next-car-purchase,"Benzinga Rankings give you vital metrics on any stock – anytime.
Car prices surged during and after the COVID-19 pandemic. Experts are now warning consumers to prepare for additional price hikes due to President Donald Trump's new 25% tariff on imported vehicles and certain auto parts. 
What To Know: President Trump announced the tariffs on Tuesday evening, saying they will “charge countries for doing business in our country and taking our jobs, taking our wealth,” and claiming they will “spur growth like you haven't seen before.” 
Experts predict these tariffs will lead to tighter supply and higher prices by mid-April. 
Read Next: US Adds 50 Chinese Entities To Export Restriction List Curtailing Access To Nvidia, AMD Chips
“You’re going to see price increases,” Ivan Drury, director of insights at automotive research site Edmunds, told USA Today. “It’s such a shotgun approach. Virtually nothing goes unscathed.”  
Price increases are expected across the board, affecting new and used cars, maintenance costs and even insurance premiums as the cost of replacement parts will also go up. 
New vehicle prices have gone up approximately 25% since early 2020, according to the Kelley Blue Book, with the average price for a new car just above $48,000 as of February 2025. 
According to estimates from the Anderson Economic Group, electric vehicle prices could rise by as much as $12,200 once the tariffs are in effect. Tesla, Inc. TSLA EVs could see similar price hikes as the automaker relies heavily on imported batteries and electronics. 
Wedbush analyst Dan Ives remained hopeful in a note written Wednesday that the auto tariffs are a negotiation tool and will be revised in the coming weeks. 
However, Ives said the tariffs in their current form “would be a hurricane-like headwind to foreign (and many US) automakers” and could raise the average car price by $5,000 to $10,000, depending on the make and model. 
Why It Matters: While the tariffs might encourage U.S. manufacturing investment in the long term, consumers will face immediate price challenges. Shares of the Big Three U.S. automakers’ stocks are also suffering, with Ford Motor Co. F, Stellantis N.V. STLA and General Motors Co. GM all down sharply on Trump's tariff plans. 
Most experts agree that consumers who were considering purchasing a vehicle may now want to move sooner than later as prices are expected to rise. 
""If you were thinking about buying in the next couple of years, it might not be a bad idea to make that purchase now if you can afford it,"" Monica Dwyer, a certified financial planner, told CNBC. 
Read More: 
Image: Shutterstock 
Benzinga Rankings give you vital metrics on any stock – anytime.
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,Why GM stock is getting hit the hardest by Trump auto tariffs,20250327,Neutral,0.105855,Roughly 30% of GM vehicles sold in the U.S. during the first three quarters of 2024 were assembled in Canada and Mexico.,CNBC,www.cnbc.com,https://www.cnbc.com/2025/03/27/gm-stock-trump-auto-tariffs.html,"
Reference #18.a33e1202.1743098867.42251c03
https://errors.edgesuite.net/18.a33e1202.1743098867.42251c03

https://errors.edgesuite.net/18.a33e1202.1743098867.42251c03"
TSLA,"RFK Jr. Plans Major Health Dept. Shakeup With 10,000 Job Cuts; Trump Open To Easing China Tariffs To Push TikTok Deal Forward As Deadline Looms; Walmart Loses $22B In Value In One Day As Consumer Confidence Slips - Top Headlines While The U.S. Slept",20250327,Neutral,-0.097721,"RFK Jr. To Cut 10,000 Jobs, Shut Regional Agencies In Major Health Department Overhaul: Report Trump Reacts To Selloff Following Auto Tariffs: 'That Can Take Care Of Itself In One Day, Two Days, Or One Week' Elon Musk's DOGE Service Team Member Tied To Cybercrime Group: Report",Benzinga,www.benzinga.com,https://www.benzinga.com/25/03/44517099/rfk-jr-plans-major-health-dept-shakeup-with-10000-job-cuts-agency-closures-trump-open-to-easing-china-tariffs-to-,"US Politics
US Markets­­­­­­­
Crypto
World Politics
US Economy
World Economy
Tech
Electric Vehicle
Consumer
Industrial
Healthcare
Financial
Space
Image Via Shutterstock
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,"What's Going On With Ford Shares Thursday? - Ford Motor  ( NYSE:F ) , General Motors  ( NYSE:GM ) ",20250327,Somewhat-bullish,0.196503,"Trump announced plans on Wednesday to impose tariffs on imported automobiles and related parts. Goldman Sachs analysts estimate that this tariff could increase the price of imported cars by $5,000 to $15,000. Pelosi's latest AI pick skyrocketed 169% in just one month.",Benzinga,www.benzinga.com,https://www.benzinga.com/25/03/44516595/whats-going-on-with-ford-shares-thursday,"Ford Motor Company F shares are trading lower on Thursday after President Donald Trump announced plans to introduce tariffs on automobiles and related imports.
What To Know: Trump on Wednesday revealed a 25% tariff on imported cars and key auto parts, according to CNBC.
The tariff on imported vehicles will take effect on April 3, while the tariff on auto parts will begin by May 3. However, auto parts compliant with the USMCA agreement will remain tariff-free until the commerce secretary and U.S. Customs and Border Protection coordinate the logistics of applying tariffs to non-U.S. content.
Shares of Ford, along with other automakers like General Motors Company GM and Toyota Motor Corporation TM, are moving lower following this announcement, as these companies rely on imported parts to manufacture their vehicles. The tariffs could raise the cost of those imports, potentially impacting their profit margins.
Deutsche Bank analysts noted that, “Tesla and Ford appear to be the most shielded given location of vehicle assembly facilities although Ford does face incremental exposure on imported engines.”
Goldman Sachs analysts estimate that this tariff could increase the price of imported cars by $5,000 to $15,000.
See Also: Wall Street’s Most Accurate Analysts Give Their Take On 3 Materials Stocks Delivering High-Dividend Yields
F Price Action: At the time of writing, Ford shares are trading 3.3% lower at $9.96, according to data from Benzinga Pro.
Image: via Shutterstock
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,"Defiance's XMAG ETF Outshines S&P 500 Amid ""Magnificent 7"" Crash, Proving Its Value as a Diversification Powerhouse",20250327,Neutral,0.046869,"MIAMI, March 27, 2025 ( GLOBE NEWSWIRE ) -- Defiance ETFs, a trailblazer in innovative exchange-traded funds, is proud to spotlight the strong performance of the Defiance Large Cap Ex-Magnificent Seven ETF ( XMAG ) , which has outpaced the S&P 500 in 2025 as the so-called ""Magnificent 7"" tech ...",Benzinga,www.benzinga.com,https://www.benzinga.com/pressreleases/25/03/g44514988/defiances-xmag-etf-outshines-s-p-500-amid-magnificent-7-crash-proving-its-value-as-a-diversificati,"MIAMI, March  27, 2025  (GLOBE NEWSWIRE) -- Defiance ETFs, a trailblazer in innovative exchange-traded funds, is proud to spotlight the strong performance of the Defiance Large Cap Ex-Magnificent Seven ETF (XMAG), which has outpaced the S&P 500 in 2025 as the so-called ""Magnificent 7"" tech giants—Apple, Microsoft, Alphabet, Amazon, Nvidia, Meta, and Tesla—face a significant downturn. Launched in October 2024, XMAG has quickly emerged as a game-changing tool for investors seeking to diversify and manage concentration risk in a market rattled by the Mag 7 crash.
Unlike traditional S&P 500 funds, XMAG tracks the BITA US 500 ex-Magnificent 7 Index, offering exposure to the largest 500 U.S. equities while deliberately excluding the Mag 7. This strategic design has paid off handsomely this year, delivering robust returns and stability at a time when overexposure to these tech titans has dragged down broader market performance. As the S&P 500 struggles under the weight of the Mag 7's decline, XMAG stands out as a core replacement for large-cap exposure—a direct, smarter alternative to the S&P 500.
""Investors and advisors have long been overexposed to the Magnificent 7 through mutual funds, ETFs, and individual stock portfolios,"" said Sylvia Jablonski, CEO and CIO of Defiance ETFs. ""This year's market dynamics have exposed the risks of that concentration, and XMAG has proven its worth as a powerful solution. It's not just about dodging the Mag 7 crash—it's about delivering diversified, resilient returns that redefine large-cap investing.""
With the Mag 7's dominance waning, XMAG offers a timely and effective way to rebalance portfolios, reduce risk, and capture the strength of the broader U.S. equity market. Its performance in 2025 underscores its role as an essential tool for advisors and investors looking to pivot away from tech-heavy strategies and embrace a more balanced approach to growth.
""XMAG isn't a niche play—it's a core holding,"" Jablonski added. ""It's the diversification investors have been craving, and the results speak for themselves. As the market evolves, XMAG is setting a new standard for large-cap exposure.""
For more information on XMAG and how it can transform your portfolio, visit www.defianceetfs.com or contact Defiance ETFs at info@defianceetfs.com.
About Defiance ETFsFounded with a mission to empower investors with cutting-edge tools, Defiance ETFs is a leader in thematic and innovative ETF solutions. Based in Miami, Defiance is committed to delivering strategies that meet the evolving needs of the modern investor
Contact Information
David Hanono
info@defianceetfs.com
833.333.9383
Important Disclosures
Defiance ETFs LLC is the ETF sponsor. The Fund's investment adviser is Tidal Investments, LLC (""Tidal"" or the ""Adviser"").
The Fund's investment objectives, risks, charges, and expenses must be considered carefully before investing. The prospectus and summary prospectus contain this and other important information about the investment company. Please read the prospectus and / or summary prospectus carefully before investing. Hard copies can be requested by calling 833.333.9383.
Investing involves risk. Principal loss is possible. As an ETF, the funds may trade at a premium or discount to NAV. Shares of any ETF are bought and sold at market price (not NAV) and are not individually redeemed from the Fund. A portfolio concentrated in a single industry or country, may be subject to a higher degree of risk.
Tracking Error Risk. As with all index funds, the performance of the Fund and the Index may differ from each other for a variety of reasons.
Large-Capitalization Investing. The securities of large-capitalization companies may be relatively mature compared to smaller companies and therefore subject to slower growth during times of economic expansion. Large-capitalization companies may also be unable to respond quickly to new competitive challenges, such as changes in technology and consumer tastes.
Market Events Risk. The Fund's investments are subject to changes in general economic conditions, general market fluctuations and the risks inherent in investment in securities and other financial instruments. Investment markets can be volatile and prices of investments can change substantially due to various factors.
Passive Investment Risk. The Fund is not actively managed and does not attempt to outperform the Index or take defensive positions in declining markets. As a result, the Fund's performance may be adversely affected by a general decline in the market segments relating to the Index.
New Fund Risk. The Fund is a recently organized management investment company with no operating history. As a result, prospective investors do not have a track record or history on which to base their investment decisions.
Diversification does not ensure a profit nor protect against loss in a declining market.
Brokerage Commissions may be charged on trades.
The Fund holds 0% in Apple, Microsoft, Alphabet, Amazon, Nvidia, Meta, and Tesla.
Distributed by Foreside Fund Services, LLC
A photo accompanying this announcement is available at https://www.globenewswire.com/NewsRoom/AttachmentNg/1578c4c6-57a2-4dc4-b82f-5a180fbc8052
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,How To Trade SPY With Initial Jobless Claims In Focus - NVIDIA  ( NASDAQ:NVDA ) ,20250327,Neutral,0.14591,"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",Benzinga,www.benzinga.com,https://www.benzinga.com/markets/equities/25/03/44514895/how-to-trade-spy-with-initial-jobless-claims-in-focus,"Good Morning Traders! In today’s Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA.
Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow. These levels are updated every day and shared with all Clubhouse Members, prior to the opening of the market.
We recommend closely monitoring these stocks, and be prepared to leverage potential breakouts or reversals. As always, stay alert and ready to adjust your tactics based on the market’s pulse to optimize your trading gains. Now, let’s dive into the stock analysis:
SPDR S&P 500 ETF Trust (SPY)
Bulls currently have SPY trading near the critical pivot of 567.81. For a bullish scenario, a decisive move higher through 569.16 is crucial. Sustained buying above 569.98 could provide enough strength to target a rally towards 571.06. If buyers successfully defend this mark, expect continuation to the upside targeting 572.15, with an ambitious upside goal of 573.50. 
If SPY struggles and fails to maintain support at 567.81, bearish momentum would likely emerge, pushing prices down initially toward 566.46. Persistent selling pressure at this level could open the path to lower support zones at 565.38, followed by a critical test at 564.29. A heavy sell-off scenario today may extend prices down to our bearish objective at 563.23.
Invesco QQQ Trust Series 1 (QQQ)
QQQ is currently trading near the pivotal 481.73 level. For the bullish narrative to unfold, buyers must clearly establish dominance above this mark, followed by a firm move toward 483.95. Continued positive momentum should support an advance toward 486.10, potentially driving prices higher to test 487.69. If the bullish scenario plays out robustly, the day’s bullish target stands at 490.05. 
However, if buyers cannot maintain strength at 481.73, bears will likely seize control and press downward to test support at 479.03. Increasing bearish sentiment would likely prompt further selling toward 476.85, with subsequent downside continuation to a key support zone at 474.66. Should selling intensity increase, a drop towards our bearish goal at 471.33 becomes probable.
Apple Inc. (AAPL)
Apple is trading near the key reference point of 220.29. For bullish traders, securing support above this mark is essential, potentially driving price action toward 220.97. Persistent upward momentum may fuel further bullish expansion toward 221.66, ultimately challenging the higher resistance area marked at our bullish target of 222.24. 
Conversely, failure to defend the level of 220.29 may activate bearish sentiment, prompting an initial sell-off toward 219.19. If bearish momentum accelerates, anticipate a deeper decline to support around 218.08, and further selling could extend the downside pressure to test 216.70. A sustained bearish environment may ultimately guide the price to our bearish objective at 215.25.
Microsoft Corp. (MSFT)
Microsoft's current price action revolves closely around our benchmark at 389.29. For bullish sentiment to remain intact, bulls must decisively defend this area and push upward toward the next resistance level of 390.98. Holding this level through regular trading hours could stimulate additional upward movement toward 392.49, and continued bullish activity may reach our primary bullish target of 393.47. 
If bulls fail to support price at 389.29, bearish traders could aggressively target initial downside at 388.53. Should this support fail, expect additional bearish momentum driving prices lower towards 387.60, and potentially extending further downward to 386.09. Under persistent selling pressure, the day’s bearish target for Microsoft is set at 385.42.
NVIDIA Corporation NVDA
NVIDIA is actively trading near our significant pivot at 111.70. Bullish participants will need to convincingly push through initial resistance at 112.54, firmly establishing support there to encourage upside continuation toward 113.68. Increased bullish strength may support a rally up to 114.29, with a bullish scenario setting sights on the primary bullish objective of 115.15. 
On the flip side, a breakdown below the key support level of 111.70 would open the possibility of bearish acceleration toward 110.73. A continuation of selling pressure could drive prices down further, testing 109.86. Additional weakness may prompt bears to push the auction even lower towards 109.12, with today’s bearish target resting at 107.51.
Alphabet Inc Class A (GOOGL)
Alphabet is trading closely near our significant pivot of 165.41. Bulls must defend this area effectively, enabling upward momentum toward initial resistance at 167.04. Continued bullish sentiment could propel prices further upwards, aiming at our primary bullish target today set at 169.34. 
Alternatively, a failure to hold support at 165.41 could initiate bearish activity pushing prices down towards the next key support level at 163.79. If bearish pressure remains intense, expect further decline toward 161.79. Sustained downside momentum could ultimately guide price toward our bearish objective today at 160.36.
Meta Platforms Inc (META)
Meta is currently trading near the pivotal level of 604.50. Bulls will look to sustain support above this critical area, setting the stage for an initial bullish test at 609.30. Continued buying could further energize the auction towards 615.65, with a robust bullish environment potentially reaching our high bullish target today of 622.01. 
Should support at 604.50 fail during today’s session, bearish traders will likely drive prices downward toward the next key area at 598.17. If bearish sentiment intensifies, look for additional declines reaching 591.29. A deeper breakdown could eventually lead Meta's price action toward the bearish target today at 585.73.
Tesla Inc. (TSLA)
Tesla is presently trading close to our essential reference point at 275.07. Bulls will aim for decisive upward momentum targeting initial resistance at 278.11. Sustained bullish sentiment could carry prices higher toward our next key level at 279.43, potentially advancing further toward 281.32. If buyer interest is particularly robust today, the ultimate bullish objective is established at 283.95. 
Conversely, should the 275.07 support level fail, anticipate immediate bearish pressure toward 272.42. Continued selling intensity could further pressure prices downwards, testing lower at 269.48. If bearish momentum deepens significantly, a further decline toward today's bearish target of 266.83 is likely.
Final Word:
Today’s trading environment is heavily influenced by key economic data, beginning with Initial and Continuing Jobless Claims at 8:30 AM ET, released concurrently with Advance Goods Trade Balance and Retail Inventories for February, along with the significant Q4 GDP Annualized Price Index (Third Reading). Later at 10 AM ET, Pending Home Sales data for February arrives, providing additional market-moving potential. Additionally, watch for the Kansas City Fed Manufacturing Activity Index for March at 11:00 AM ET, followed by a crucial 7-Year Treasury Note Auction at 1 PM ET. 
Given the breadth and significance of today's economic releases, heightened volatility is anticipated across markets. Traders should approach today’s session prepared, emphasizing risk management and strategic patience, as data-driven price action could lead to considerable swings. Stay disciplined, and trade safe!
The Morning Memo is curated by RIPS, a pro trader with years of experience in equities, options, and futures trading. RIPS is at the heart of the exclusive Market Clubhouse community, offering his insights, expertise, and real-time mentorship.
Start your day with a live daily market analysis, a carefully selected watch list, early access to the Morning Memo, and exclusive Market Clubhouse price levels, providing precise support and resistance indicators. When you become a member of Market Clubhouse, you will gain early access to the Morning Memo, just like this one, every single day—hours before it’s published. You will also have access to a live stream with zero latency and screen sharing, enabling you to witness Rips executing his trades in real-time and sharing his exclusive trading plans, strategies, and live decision-making.
For a limited time during our special promotion, you can join RIPS and get a full access pass to Market Clubhouse for 7 full days for just $7. Check it out at https://marketclubhouse.club/7Days/ where you can trade live with him and tap into his wealth of knowledge and experience. You can also catch Rips on his live day trading streams every Monday-Friday at 8 am EST on the Market Clubhouse YouTube channel: https://www.youtube.com/@MarketClubhouse.
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,"Commerce Secretary Lutnick Promoting Tesla On Fox News: 'We're All Going To Be Buying $30,000 Tesla Robots.' Anyone Who Doesn't Is 'Silly' - Tesla  ( NASDAQ:TSLA ) ",20250327,Somewhat-bullish,0.150385,"Commerce Secretary Howard Lutnick is publicly backing Tesla TSLA and its CEO, Elon Musk, on TV, sparking a wave of criticism from ethics experts, investors and public figures, including Tesla bull Gary Black.",Benzinga,www.benzinga.com,https://www.benzinga.com/news/25/03/44514806/commerce-secretary-lutnick-promoting-tesla-on-fox-news-were-all-going-to-be-buying-30000-tesla-robots-anyone,"Commerce Secretary Howard Lutnick is publicly backing Tesla TSLA and its CEO, Elon Musk, on TV, sparking a wave of criticism from ethics experts, investors and public figures, including Tesla bull Gary Black.
During a recent appearance on Fox News, Lutnick lavished praise on Musk, calling him “probably the best person to bet on I’ve ever met.” He claimed Tesla stock is massively undervalued and urged viewers to buy in. “It’ll never be this cheap again,” Lutnick said, adding that people will one day regret not purchasing Musk’s stock.
Lutnick: We are all going to be buying robots. They are going to cost around $30,000, you're going to be buying a Tesla robot and anybody who does not buy a Tesla robot is going to be silly. pic.twitter.com/f5coSJZPaY
Don't Miss:
He went a step further, promoting Tesla’s upcoming humanoid robot Optimus, which he said would sell for about $30,000. “Anybody who does not have a Tesla robot will be silly,” Lutnick said. “They will mow our lawn and make us coffee and our bed… and renovate our bathroom. I’m telling you, we’re both going to have really nice bathrooms.”
Lutnick also promoted Musk’s robotaxi project, the Cybercab, suggesting both products would soon be part of everyday life.
But even Musk himself has recently tried to lower the hype. In November, he said on X that a $30,000 price tag for either product would only be possible in the “long-term” and that Tesla would need to reach production volumes of over 1 million units per year. He did not clarify if that target applied individually or combined.
Trending: Hasbro, MGM, and Skechers trust this AI marketing firm — invest pre-IPO from $0.55 per share now.
Musk had previously said Optimus would be sold below $30,000 and that there could be one robot per person in the future. Still, he acknowledged earlier that only limited factory use is expected in 2025, with possible wider rollout by 2026. As for the Cybercab, it is still slated for production “before 2027.”
Ethics watchdogs have voiced concern about Lutnick's public endorsements of Tesla.
“It’s an ethics issue, and it’s an optics issue,” said Jordan Libowitz, head of communications at Citizens for Responsibility and Ethics in Washington. “When someone spends hundreds of millions of dollars to elect a president and then that president's administration takes action that appears to be an attempt to boost that person's net worth.”
Richard Painter, ethics counsel under President George W. Bush, was even more direct: “The Commerce Secretary is not Jim Cramer.”
President Donald Trump has also repeatedly praised Musk and Tesla, recently posing in front of Teslas on the White House lawn and pledging to buy a Model S.
See Also: This platform is reshaping how you invest in private companies — and you can be a part of it for $0.18 per share
Even Tesla bulls like Gary Black are cautioning against inflated expectations. Black, managing partner of The Future Fund, estimates that 500,000 Optimus robots by 2027 would add just $0.70 to Tesla's earnings per share.
“Every time I try to right-size expectations, I get pounded on by TSLA uberbulls,” he said on X. “TSLA has underperformed for the past three years because expectations were too high.”
He pointed out that Tesla's 2025 and 2026 earnings estimates have dropped 39% and 45%, respectively, over the past year.
Meanwhile, Bank of America values the Optimus segment at between $14 billion and $95 billion but sees greater long-term potential in Tesla's robotaxi and self-driving technology, which it says could eventually make up more than 75% of Tesla's value.
Read Next:
© 2025 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.
Trade confidently with insights and alerts from analyst ratings, free reports and breaking news that affects the stocks you care about."
TSLA,"Stock Market News For Mar 27, 2025",20250327,Somewhat-bearish,-0.178174,"U.S. stocks closed lower on Wednesday, with all three indexes snapping their three-day winning streak, as investors looked forward to President Donald Trump's long-promised tariff announcement on auto imports.",Zacks Commentary,www.zacks.com,https://www.zacks.com/stock/news/2436109/stock-market-news-for-mar-27-2025,
TSLA,Jim Gibson to join PacBio as Chief Financial Officer,20250327,Somewhat-bullish,0.274731,"MENLO PARK, Calif., March 27, 2025 ( GLOBE NEWSWIRE ) -- PacBio ( NASDAQ: PACB ) , a leading developer of high-quality, highly accurate sequencing solutions, today announced Jim Gibson will join and be appointed as the company's new Chief Financial Officer, effective as of his start date, which ...",GlobeNewswire,www.globenewswire.com,https://www.globenewswire.com/news-release/2025/03/27/3050619/16261/en/Jim-Gibson-to-join-PacBio-as-Chief-Financial-Officer.html,"


March 27, 2025 09:05 ET


 | Source:
            
PacBio





PacBio

MENLO PARK, Calif., March  27, 2025  (GLOBE NEWSWIRE) -- PacBio (NASDAQ: PACB), a leading developer of high-quality, highly accurate sequencing solutions, today announced Jim Gibson will join and be appointed as the company’s new Chief Financial Officer, effective as of his start date, which is expected to be March 31, 2025. With over three decades of financial leadership experience at some of Silicon Valley’s most iconic and innovative companies, Mr. Gibson brings a deep track record of operational excellence, strategic financing, and scaling global organizations.
Mr. Gibson joins PacBio from Sequoia, a strategic compensation and benefits solutions provider, where he served as CFO across four entities. Prior to Sequoia, Mr. Gibson was CFO at Willow Innovations, where he helped raise $132 million and positioned the company for its next stage of growth. Additionally, he has held executive roles at GoDaddy, Tesla, Apple, Netflix, and Affymetrix, where he helped scale businesses, integrate acquisitions, and deliver over $1B in raised capital across his career.
“Jim’s experience at the intersection of technology, life sciences, and high-growth enterprises makes him the ideal financial leader for PacBio’s next phase,” said Christian Henry, President and Chief Executive Officer at PacBio. “His ability to drive both operational scale and financial strategy will be essential as we progress toward our goal of achieving positive cash flows exiting 2027.”
“I’m thrilled to join PacBio at such a pivotal moment,” said Mr. Gibson. “The company’s mission of enabling the power of genomics to improve human health is one I deeply believe in. I look forward to partnering with the leadership team to drive innovation, growth, and long-term value for our stakeholders.”
Gibson holds a B.A. in Business Economics with Honors from the University of California, Santa Barbara, and is a licensed CPA in California (inactive).
About PacBio
PacBio (NASDAQ: PACB) is a premier life science technology company that designs, develops, and manufactures advanced sequencing solutions to help scientists and clinical researchers resolve genetically complex problems. Our products and technologies stem from two highly differentiated core technologies focused on accuracy, quality, and completeness, which include our HiFi long-read sequencing and our SBB® short-read sequencing technologies. Our products address solutions across a broad set of research applications, including human germline sequencing, plant and animal sciences, infectious disease and microbiology, oncology, and other emerging applications. For more information, please visit www.pacb.com and follow @PacBio.
PacBio products are provided for Research Use Only. Not for use in diagnostic procedures.
Forward Looking Statements
This press release may contain “forward-looking statements” within the meaning of Section 21E of the Securities Exchange Act of 1934, as amended, and the U.S. Private Securities Litigation Reform Act of 1995. All statements other than statements of historical fact are forward-looking statements, including statements relating to PacBio’s new chief financial officer; the Company’s goal of achieving positive cash flow; and other future events. You should not place undue reliance on forward-looking statements because they are subject to assumptions, risks, and uncertainties and could cause actual outcomes and results to differ materially from currently anticipated results, including challenges inherent in developing, manufacturing, launching, marketing and selling the Company’s products, and achieving anticipated sales; unanticipated increases in costs or expenses;  competition; and challenges and uncertainties related to management transitions . Additional factors that could materially affect actual results can be found in PacBio's most recent filings with the Securities and Exchange Commission, including PacBio's most recent reports on Forms 8-K, 10-K, and 10-Q, and include those listed under the caption ""Risk Factors."" These forward-looking statements are based on current expectations and speak only as of the date hereof; except as required by law, PacBio disclaims any obligation to revise or update these forward-looking statements to reflect events or circumstances in the future, even if new information becomes available.
Contacts
Investors and Media:Todd Friedmanir@pacificbiosciences.com"
