Pulsed/ Streaming,FTSE Index ,FTSE Index Code,Base Currency,PDG,FTSE Index Family,Bloomberg Ticker- Total Return,Bloomberg Codes,Bloomberg Ticker- Price Return,RIC Total Return Codes,FTSE- Declared or Net,RIC Codes,RIC Codes - Price Return
P,FTSE ST All-Share Index,FSTAS,SGD,PDG24,FTSE ST Index Series,TFSTASS,FSTAS Index ,FSTAS Index ,.TFTFSTASE,Declared,.FTFSTAS,.FTFSTAS
P,FTSE ST Catalist Index,FSTICA,SGD,PDG24,FTSE ST Index Series,-,FSTICA Index,-,-,-,.FTFSTICA,.FTFSTICA
P,FTSE ST China Index,FSTC,SGD,PDG24,FTSE ST Index Series,TFSTCS,FSTC Index,FSTC Index,.TFTFSTCE,Declared,.FTFSTC,.FTFSTAS8670
P,FTSE ST Fledging Index,FSTF,SGD,PDG24,FTSE ST Index Series,TFSTFS,FSTF Index,FSTF Index,-,-,.FTFSTF,.FTFSTF
P,FTSE/JSE All Africa 40 Index,JA00,USD,PDG2,FTSE/JSE All Africa Index Series,-,JA00 Index ,JA00 Index ,-,-,.FTJA00,.FTJA00
P,FTSE/JSE All Africa 40 Index - Rand,JA0R,ZAR,PDG2,FTSE/JSE All Africa Index Series,-,JA0R Index ,JA0R Index ,-,-,.FTJA0R,.FTJA0R
P,FTSE/JSE All Africa ex South Africa 30 Index,JA30,USD,PDG2,FTSE/JSE All Africa Index Series,-,JA30 Index ,JA30 Index ,-,-,.FTJA30,.FTJA30
P,FTSE/JSE All Africa ex South Africa 30 Index Rand,JA3R,ZAR,PDG2,FTSE/JSE All Africa Index Series,-,JA3R Index ,JA3R Index ,-,-,.FTJA3R,.FTJA3R
P,FTSE/JSE All-Share ex Resources Index,J250,ZAR,PDG2,FTSE/JSE Africa Index Series,-,FTJ250 Index,FTJ250 Index,-,-,.FTJ250,.FTJ250
P,FTSE/JSE All-Share Index,J203,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JALSH Index,JALSH Index,-,-,.FTJ203,.FTJ203
P,FTSE/JSE All-Share Industrials Index,J257,ZAR,PDG2,FTSE/JSE Africa Index Series,-,JASIN Index ,JASIN Index ,-,-,.FTJ257,.FTJ257
