Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Government Bill 0-12 Month Index,EMTT12,EUR,PDG01MTS,EMTTYUR,EMTTYUR= 
S,FTSE Eurozone Government Bill 0-3 Month Index,EMTT3,EUR,PDG01MTS,EMTT3UR,EMTT3UR= 
S,FTSE Eurozone Government Bill 0-6 Month Index,EMTT6,EUR,PDG01MTS,EMTT6UR,EMTT6UR= 
S,FTSE Eurozone Government Bill 0-6 Month Capped Index,EMTT6C,EUR,PDG01MTS,EMTT6CR,EMTT6CR= 
S,FTSE Eurozone Government Bill 0-6 Month Capped (Mid Price) Index,EMTT6C_MP,EUR,PDG01MTS,FMMPR6CR,FMMPR6CR= 
S,FTSE Eurozone Target Maturity Government Bond Spain Index,EMTX_10TM_ES,EUR,PDG01MTS,MTSES10R,-
S,FTSE Eurozone Target Maturity Government Bond Spain (Mid Price) Index,EMTX_10TM_ES_MP,EUR,PDG01MTS,FMMPESXR,-
S,FTSE Eurozone Target Maturity Government Bond Italy Index,EMTX_10TM_IT,EUR,PDG01MTS,MTSIT10R,-
S,FTSE Eurozone Target Maturity Government Bond Italy (Mid Price) Index,EMTX_10TM_IT_MP,EUR,PDG01MTS,FMMPITXR,-
S,FTSE Eurozone Target Maturity Government Bond Spain Index,EMTX_1TM_ES,EUR,PDG01MTS,-,MTSES10R= 
S,FTSE Eurozone Target Maturity Government Bond Italy Index,EMTX_1TM_IT,EUR,PDG01MTS,-,MTSIT10R= 
S,FTSE Eurozone Government Bond 1-3Y Index,EMTX_A,EUR,PDG01MTS,EMTXART,EMTXART= 
S,FTSE Eurozone Government Broad 1-3Y Index,EMTX_AG_A,EUR,PDG01MTS,EMTSAR,EMTSART= 
S,FTSE Eurozone Government Broad 3-5Y Index,EMTX_AG_B,EUR,PDG01MTS,EMTSBR,EMTSBRT= 
S,FTSE Eurozone Government Broad 5-7Y Index,EMTX_AG_C,EUR,PDG01MTS,EMTSCR,EMTSCRT= 
S,FTSE Eurozone Government Broad 7-10Y Index,EMTX_AG_D,EUR,PDG01MTS,EMTSDR,EMTSDRT= 
