Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
S,5x Daily Leveraged RT FTSE 100 TR Index ,UKXL5X,GBP,PDG122,-,-,UKXL5X Index,-,-,-
S,5x Daily Leveraged RT Net-of-tax (Lux) FTSE MIB TR Index ,FMIBL5X,EUR,PDG122,-,-,FMIBL5X Index ,.FTFMIBL5X ,-,-
S,5x Daily Short Strategy RT FTSE 100 Gross TR Index ,UKXI5X,GBP,PDG122,-,-,UKXI5X Index ,-,-,-
S,5x Daily Short Strategy RT FTSE MIB Gross TR Index ,FMIBI5X,Euro,PDG122,-,-,FMIBI5X Index,.FTFMIBI5X ,-,-
S,FTSE 100 2x Daily Leveraged (Declared Dividend) Total Return Index,UKXDL2X,GBP,PDG122,UKXDL2XT,-,-,.TRIUKXDL2X,-,.FTUKXDL2X
S,FTSE 100 Daily Leveraged RT TR Index,UKXL2X,EUR,PDG122,-,-,UKXL2X Index,-,-,-
S,FTSE 100 Daily Short Index,UKXS,GBP,PDG122,-,-,UKXS100 Index,.TRIUKXS,-,.FTUKXS
S,FTSE 100 Daily Short RT Gross TR Index,UKXS1X,EUR,PDG122,-,-,UKXS1X Index,-,-,-
S,FTSE 100 Daily Short Strategy RT Gross TR Index,UKXI1X,EUR,PDG122,-,-,UKXI1X Index,-,-,-
S,FTSE 100 Daily Super Leveraged RT TR Index,UKXL3X,EUR,PDG122,-,-,UKXL3X Index,-,-,-
S,FTSE 100 Daily Super Short RT Gross TR Index,UKXS2X,EUR,PDG122,-,-,UKXS2X Index,-,-,-
S,FTSE 100 Daily Super Short Strategy RT Gross TR Index,UKXI2X,EUR,PDG122,-,-,UKXI2X Index,-,-,-
S,FTSE 100 Daily Ultra Leveraged RT TR Index,UKXL4X,EUR,PDG122,-,-,UKXL4X Index,-,-,-
S,FTSE 100 Daily Ultra Short RT Gross TR Index,UKXS3X,EUR,PDG122,-,-,UKXS3X Index,-,-,-
S,FTSE 100 Daily Ultra Short Strategy RT Gross TR Index,UKXI3X,EUR,PDG122,-,-,UKXI3X Index,-,-,-
S,FTSE 100 Equally Weighted Index,UKXEQW,GBP,PDG101,UKXEQTR,-,-,.UKXEQTR,-,-
S,FTSE 100 Equally Weighted Net Tax Expiry Index,UKXEQSP,GBP,PDG101,-,-,UKXEQSP,.TRIUKXEQSP,-,-
S,FTSE 100 Equally Weighted Net Tax Index ,UKXEQ,GBP,PDG101,-,"TUKXEQ
",UKXEQ ,.TRIUKXEQ,-,.FTUKXEQ
S,FTSE 100 expiry index,UKXSP,GBP,PDG101,-,-,UKXSP ,.TRIUKXSP,-,.FTSESP
S,FTSE 100 Index,UKX,GBP,PDG101,TUKXG,-,UKX ,.TRIUKX,-,.FTSE
S,FTSE 100 Index USD,UKXUSD,USD,PDG101,"UKXUSDT
",-,UKXUSD,.TRIUKXUSD,-,.FTUKXUSD
S,FTSE 100 Mini Index,UKXM,GBP,PDG101,-,-,UKXM Index,.TRIUKXM1,-,.FTUKXM1
S,FTSE 100 Minimum Variance Index ,UKXMV,GBP,PDG101,"TUKXMV
",-,UKXMV,.TRIUKXMV,-,.FTUKXMV
S,FTSE 100 Net Dividend Total Return Index,UKXNUK,GBP,PDG101,-,UKXNUK,-,.TRIUKXNUK,-,.FTUKXNUK
S,FTSE 100 Total Return Declared Dividend Index ,UKXDUK,GBP,PDG101,-,-,UKXDUK,.TRIUKXDUK,-,.FTUKXDUK
S,FTSE 100 USD Mini Index,UKXUSDM,USD,PDG101,-,-,UKXUSDM Index,.TRIUKXUSDM,-,.FTUKXUSDM
S,FTSE 250 Daily Leveraged RT TR Index,MCXL2X,EUR,PDG122,-,-,MCXL2X Index,-,-,-
S,FTSE 250 Daily Short Strategy RT Gross TR Index,MCXI1X,EUR,PDG122,-,-,MCXI1X Index,-,-,-
