Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 1000 Aerospace and Defense Sector Index,USD,PDG01RR,Real Time,R1ICBAOD,-,.R1ICBAOD,,,
S,Russell 1000 Aerospace and Defense Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBAODT,-,.R1ICBAODT,,,
S,Russell 1000 Automobiles and Parts Sector Index,USD,PDG01RR,Real Time,R1ICBAUP,-,.R1ICBAUP,,,
S,Russell 1000 Automobiles and Parts Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBAUPT,-,.R1ICBAUPT,,,
S,Russell 1000 Automobiles and Parts Supersector Index,USD,PDG01RR,Real Time,R1ICBAPS,-,.R1ICBAPS,,,
S,Russell 1000 Automobiles and Parts Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBAPST,-,.R1ICBAPST,,,
S,Russell 1000 Banks Sector Index,USD,PDG01RR,Real Time,R1ICBBAN,-,.R1ICBBAN,,,
S,Russell 1000 Banks Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBBANT,-,.R1ICBBANT,,,
S,Russell 1000 Banks Supersector Index,USD,PDG01RR,Real Time,R1ICBBNK,-,.R1ICBBNK,,,
S,Russell 1000 Banks Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBBNKT,-,.R1ICBBNKT,,,
S,Russell 1000 Basic Materials Industry Index,USD,PDG01RR,Real Time,R1ICBBM,-,.R1ICBBM,,,
S,Russell 1000 Basic Materials RIC 22.5/45 Capped Index,USD,PDG01RR,Real Time,RIYMC,-,.RIYMC,,,
S,Russell 1000 Basic Materials RIC 22.5/45 Capped Total Return Index,USD,PDG01RR,Real Time,RIYMCT,RIYMC1,.RIYMCT,,,
S,Russell 1000 Basic Resources Supersector Index,USD,PDG01RR,Real Time,R1ICBBR,-,.R1ICBBR,,,
S,Russell 1000 Beverages Sector Index,USD,PDG01RR,Real Time,R1ICBBEV,-,.R1ICBBEV,,,
S,Russell 1000 Beverages Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBBEVT,-,.R1ICBBEVT,,,
S,Russell 1000 Chemicals Sector Index,USD,PDG01RR,Real Time,R1ICBCHE,-,.R1ICBCHE,,,
S,Russell 1000 Chemicals Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBCHET,-,.R1ICBCHET,,,
S,Russell 1000 Chemicals Supersector Index,USD,PDG01RR,Real Time,R1ICBCML,-,.R1ICBCML,,,
S,Russell 1000 Chemicals Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBCMLT,-,.R1ICBCMLT,,,
S,Russell 1000 Construction and Materials  Sector Index,USD,PDG01RR,Real Time,R1ICBCOM,-,.R1ICBCOM,,,
S,Russell 1000 Construction and Materials  Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBCOMT,-,.R1ICBCOMT,,,
S,Russell 1000 Construction and Materials Supersector Index,USD,PDG01RR,Real Time,R1ICBCMA,-,.R1ICBCMA,,,
S,Russell 1000 Construction and Materials Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBCMAT,-,.R1ICBCMAT,,,
S,Russell 1000 Consumer Discretionary 40 Act 15/22.5 Daily Capped Index,USD,PDG01RR,Real Time,RIYCC,-,.RIYCC,,,
S,Russell 1000 Consumer Discretionary 40 Act 15/22.5 Daily Capped Total Return Index,USD,PDG01RR,Real Time,RIYCCT,RIYCC1,.RIYCCT,,,
S,Russell 1000 Consumer Discretionary Industry Index,USD,PDG01RR,Real Time,R1ICBCD,-,.R1ICBCD,,,
S,Russell 1000 Consumer Products and Services Supersector Index,USD,PDG01RR,Real Time,R1ICBCPS,-,.R1ICBCPS,,,
S,Russell 1000 Consumer Products and Services Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBCPST,-,.R1ICBCPST,,,
S,Russell 1000 Consumer Services  Sector Index,USD,PDG01RR,Real Time,R1ICBCSV,-,.R1ICBCSV,,,
